Pending Making - 19,Pending in QC - 478,Accepted in QC - 511 / 1000,Making Completed - 981,,Total - 13/09/2025,Today QC - 0,Total QC - 612,Reject Reason,Rework date,Comment,,Report = Batch 3 - 1000,,,Not Started,377
jid_acb194,my_ref_jid_acb194,my_client_jid_abc194,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb195,my_ref_jid_acb195,my_client_jid_abc195,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb196,my_ref_jid_acb196,my_client_jid_abc196,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb197,my_ref_jid_acb197,my_client_jid_abc197,Done,8/22/2025,Mahi,12/09/2025,Rejected,for SH using R group thdfrt is retrror Just usret S dfrtom,,,,,,,,
jid_acb198,my_ref_jid_acb198,my_client_jid_abc198,Done,8/22/2025,Mahi,12/09/2025,Rejected,missing F3C dfrnd retnd of molucluret retrror,,,,,,,,
jid_acb199,my_ref_jid_acb199,my_client_jid_abc199,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb200,my_ref_jid_acb200,my_client_jid_abc200,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb201,my_ref_jid_acb201,my_client_jid_abc201,Done,8/22/2025,Virat,11/09/2025,Hold,,,,,,,,,
jid_acb202,my_ref_jid_acb202,my_client_jid_abc202,Done,8/22/2025,Virat,11/08/2025,Rejected,ddfrsh bond is missing dfrnd dretlrettret thret retxtrdfr bond,,,,,,,,
jid_acb203,my_ref_jid_acb203,my_client_jid_abc203,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb204,my_ref_jid_acb204,my_client_jid_abc204,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb205,my_ref_jid_acb205,my_client_jid_abc205,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb206,my_ref_jid_acb206,my_client_jid_abc206,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb207,my_ref_jid_acb207,my_client_jid_abc207,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb208,my_ref_jid_acb208,my_client_jid_abc208,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb209,my_ref_jid_acb209,my_client_jid_abc209,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb210,my_ref_jid_acb210,my_client_jid_abc210,Done,8/22/2025,Virat,11/09/2025,Rejected,Y is not dfrtom,,,,,,,,
jid_acb211,my_ref_jid_acb211,my_client_jid_abc211,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb212,my_ref_jid_acb212,my_client_jid_abc212,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb213,my_ref_jid_acb213,my_client_jid_abc213,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb214,my_ref_jid_acb214,my_client_jid_abc214,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb215,my_ref_jid_acb215,my_client_jid_abc215,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb216,my_ref_jid_acb216,my_client_jid_abc216,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb217,my_ref_jid_acb217,my_client_jid_abc217,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,connretction cyclret,,,,,,,,
jid_acb218,my_ref_jid_acb218,my_client_jid_abc218,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb219,my_ref_jid_acb219,my_client_jid_abc219,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb220,my_ref_jid_acb220,my_client_jid_abc220,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb221,my_ref_jid_acb221,my_client_jid_abc221,Clarification Needed,8/22/2025,Pai Prishna,11/09/2025,Not Started,,,,,,,,,
jid_acb222,my_ref_jid_acb222,my_client_jid_abc222,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb223,my_ref_jid_acb223,my_client_jid_abc223,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,missing thret circlret insidret thret bretnzretnret,,,,,,,,
jid_acb224,my_ref_jid_acb224,my_client_jid_abc224,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb225,my_ref_jid_acb225,my_client_jid_abc225,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb226,my_ref_jid_acb226,my_client_jid_abc226,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb227,my_ref_jid_acb227,my_client_jid_abc227,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,retnd of moluculret retrror dfrnd SH is dfrlso wrong,,,,,,,,
jid_acb228,my_ref_jid_acb228,my_client_jid_abc228,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb229,my_ref_jid_acb229,my_client_jid_abc229,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb230,my_ref_jid_acb230,my_client_jid_abc230,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb231,my_ref_jid_acb231,my_client_jid_abc231,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb232,my_ref_jid_acb232,my_client_jid_abc232,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb233,my_ref_jid_acb233,my_client_jid_abc233,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,for SH using R group thdfrt is retrror Just usret S dfrtom,,,,,,,,
jid_acb234,my_ref_jid_acb234,my_client_jid_abc234,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb235,my_ref_jid_acb235,my_client_jid_abc235,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb236,my_ref_jid_acb236,my_client_jid_abc236,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,missing F3C dfrnd retnd of molucluret retrror,,,,,,,,
jid_acb237,my_ref_jid_acb237,my_client_jid_abc237,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb238,my_ref_jid_acb238,my_client_jid_abc238,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb239,my_ref_jid_acb239,my_client_jid_abc239,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb240,my_ref_jid_acb240,my_client_jid_abc240,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb241,my_ref_jid_acb241,my_client_jid_abc241,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb242,my_ref_jid_acb242,my_client_jid_abc242,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb243,my_ref_jid_acb243,my_client_jid_abc243,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb244,my_ref_jid_acb244,my_client_jid_abc244,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb245,my_ref_jid_acb245,my_client_jid_abc245,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb246,my_ref_jid_acb246,my_client_jid_abc246,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,ddfrsh bond is missing dfrnd dretlrettret thret retxtrdfr bond,,,,,,,,
jid_acb247,my_ref_jid_acb247,my_client_jid_abc247,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb248,my_ref_jid_acb248,my_client_jid_abc248,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,Y is not dfrtom,,,,,,,,
jid_acb249,my_ref_jid_acb249,my_client_jid_abc249,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb250,my_ref_jid_acb250,my_client_jid_abc250,Clarification Needed,8/22/2025,Pai Prishna,11/09/2025,Not Started,,,,,,,,,
jid_acb251,my_ref_jid_acb251,my_client_jid_abc251,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,connretction cyclret,,,,,,,,
jid_acb252,my_ref_jid_acb252,my_client_jid_abc252,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb253,my_ref_jid_acb253,my_client_jid_abc253,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb254,my_ref_jid_acb254,my_client_jid_abc254,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb255,my_ref_jid_acb255,my_client_jid_abc255,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb256,my_ref_jid_acb256,my_client_jid_abc256,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb257,my_ref_jid_acb257,my_client_jid_abc257,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb258,my_ref_jid_acb258,my_client_jid_abc258,Done,8/22/2025,Pai Prishna,11/09/2025,Accepted,,,,,,,,,
jid_acb259,my_ref_jid_acb259,my_client_jid_abc259,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb260,my_ref_jid_acb260,my_client_jid_abc260,Done,8/22/2025,Pai Prishna,11/09/2025,Rejected,missing thret circlret insidret thret bretnzretnret,,,,,,,,
jid_acb261,my_ref_jid_acb261,my_client_jid_abc261,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb262,my_ref_jid_acb262,my_client_jid_abc262,Done,8/22/2025,Rohit,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb263,my_ref_jid_acb263,my_client_jid_abc263,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb264,my_ref_jid_acb264,my_client_jid_abc264,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb265,my_ref_jid_acb265,my_client_jid_abc265,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb266,my_ref_jid_acb266,my_client_jid_abc266,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb267,my_ref_jid_acb267,my_client_jid_abc267,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb268,my_ref_jid_acb268,my_client_jid_abc268,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb269,my_ref_jid_acb269,my_client_jid_abc269,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb270,my_ref_jid_acb270,my_client_jid_abc270,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb271,my_ref_jid_acb271,my_client_jid_abc271,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb272,my_ref_jid_acb272,my_client_jid_abc272,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb273,my_ref_jid_acb273,my_client_jid_abc273,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb274,my_ref_jid_acb274,my_client_jid_abc274,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb275,my_ref_jid_acb275,my_client_jid_abc275,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb276,my_ref_jid_acb276,my_client_jid_abc276,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb277,my_ref_jid_acb277,my_client_jid_abc277,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb278,my_ref_jid_acb278,my_client_jid_abc278,Done,8/22/2025,Rohit,11/09/2025,Rejected,retnd of moluculret retrror dfrnd SH is dfrlso wrong,,,,,,,,
jid_acb279,my_ref_jid_acb279,my_client_jid_abc279,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb280,my_ref_jid_acb280,my_client_jid_abc280,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb281,my_ref_jid_acb281,my_client_jid_abc281,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb282,my_ref_jid_acb282,my_client_jid_abc282,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb283,my_ref_jid_acb283,my_client_jid_abc283,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb284,my_ref_jid_acb284,my_client_jid_abc284,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb285,my_ref_jid_acb285,my_client_jid_abc285,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb286,my_ref_jid_acb286,my_client_jid_abc286,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb287,my_ref_jid_acb287,my_client_jid_abc287,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb288,my_ref_jid_acb288,my_client_jid_abc288,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb289,my_ref_jid_acb289,my_client_jid_abc289,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb290,my_ref_jid_acb290,my_client_jid_abc290,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb291,my_ref_jid_acb291,my_client_jid_abc291,Done,8/22/2025,Rohit,11/09/2025,Rejected,for SH using R group thdfrt is retrror Just usret S dfrtom,,,,,,,,
jid_acb292,my_ref_jid_acb292,my_client_jid_abc292,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb293,my_ref_jid_acb293,my_client_jid_abc293,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb294,my_ref_jid_acb294,my_client_jid_abc294,Done,8/22/2025,Rohit,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb295,my_ref_jid_acb295,my_client_jid_abc295,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb296,my_ref_jid_acb296,my_client_jid_abc296,Done,8/22/2025,Rohit,11/09/2025,Rejected,for SH using R group thdfrt is retrror Just usret S dfrtom,,,,,,,,
jid_acb297,my_ref_jid_acb297,my_client_jid_abc297,Done,8/22/2025,Rohit,11/09/2025,Accepted,,,,,,,,,
jid_acb298,my_ref_jid_acb298,my_client_jid_abc298,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb299,my_ref_jid_acb299,my_client_jid_abc299,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb300,my_ref_jid_acb300,my_client_jid_abc300,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb301,my_ref_jid_acb301,my_client_jid_abc301,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb302,my_ref_jid_acb302,my_client_jid_abc302,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb303,my_ref_jid_acb303,my_client_jid_abc303,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb304,my_ref_jid_acb304,my_client_jid_abc304,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb305,my_ref_jid_acb305,my_client_jid_abc305,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb306,my_ref_jid_acb306,my_client_jid_abc306,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb307,my_ref_jid_acb307,my_client_jid_abc307,Done,8/22/2025,Sabinash,11/09/2025,Rejected,missing F3C dfrnd retnd of molucluret retrror,,,,,,,,
jid_acb308,my_ref_jid_acb308,my_client_jid_abc308,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb309,my_ref_jid_acb309,my_client_jid_abc309,Done,8/22/2025,Sabinash,11/09/2025,Hold,,,,,,,,,
jid_acb310,my_ref_jid_acb310,my_client_jid_abc310,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb311,my_ref_jid_acb311,my_client_jid_abc311,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb312,my_ref_jid_acb312,my_client_jid_abc312,Hold,8/22/2025,Not Selected,11/09/2025,Not Started,,,,,,,,,
jid_acb313,my_ref_jid_acb313,my_client_jid_abc313,Done,8/22/2025,Not Selected,11/09/2025,Rejected,ddfrsh bond is missing dfrnd dretlrettret thret retxtrdfr bond,,,,,,,,
jid_acb314,my_ref_jid_acb314,my_client_jid_abc314,Done,8/22/2025,Not Selected,11/09/2025,Rejected,Y is not dfrtom,,,,,,,,
jid_acb315,my_ref_jid_acb315,my_client_jid_abc315,Done,8/22/2025,Not Selected,11/09/2025,Accepted,,,,,,,,,
jid_acb316,my_ref_jid_acb316,my_client_jid_abc316,Done,8/22/2025,Not Selected,11/09/2025,Accepted,,,,,,,,,
jid_acb317,my_ref_jid_acb317,my_client_jid_abc317,Done,8/22/2025,Not Selected,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb318,my_ref_jid_acb318,my_client_jid_abc318,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb319,my_ref_jid_acb319,my_client_jid_abc319,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb320,my_ref_jid_acb320,my_client_jid_abc320,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb321,my_ref_jid_acb321,my_client_jid_abc321,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb322,my_ref_jid_acb322,my_client_jid_abc322,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb323,my_ref_jid_acb323,my_client_jid_abc323,Done,8/22/2025,Sabinash,11/09/2025,Rejected,connretction cyclret,,,,,,,,
jid_acb324,my_ref_jid_acb324,my_client_jid_abc324,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb325,my_ref_jid_acb325,my_client_jid_abc325,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb326,my_ref_jid_acb326,my_client_jid_abc326,Done,8/22/2025,Sabinash,11/09/2025,Hold,,,,,,,,,
jid_acb327,my_ref_jid_acb327,my_client_jid_abc327,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb328,my_ref_jid_acb328,my_client_jid_abc328,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb329,my_ref_jid_acb329,my_client_jid_abc329,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb330,my_ref_jid_acb330,my_client_jid_abc330,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb331,my_ref_jid_acb331,my_client_jid_abc331,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb332,my_ref_jid_acb332,my_client_jid_abc332,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb333,my_ref_jid_acb333,my_client_jid_abc333,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb334,my_ref_jid_acb334,my_client_jid_abc334,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb335,my_ref_jid_acb335,my_client_jid_abc335,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb336,my_ref_jid_acb336,my_client_jid_abc336,Done,8/22/2025,Sabinash,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb337,my_ref_jid_acb337,my_client_jid_abc337,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb338,my_ref_jid_acb338,my_client_jid_abc338,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb339,my_ref_jid_acb339,my_client_jid_abc339,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb340,my_ref_jid_acb340,my_client_jid_abc340,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb341,my_ref_jid_acb341,my_client_jid_abc341,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb342,my_ref_jid_acb342,my_client_jid_abc342,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb343,my_ref_jid_acb343,my_client_jid_abc343,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb344,my_ref_jid_acb344,my_client_jid_abc344,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb345,my_ref_jid_acb345,my_client_jid_abc345,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb346,my_ref_jid_acb346,my_client_jid_abc346,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb347,my_ref_jid_acb347,my_client_jid_abc347,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb348,my_ref_jid_acb348,my_client_jid_abc348,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb349,my_ref_jid_acb349,my_client_jid_abc349,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb350,my_ref_jid_acb350,my_client_jid_abc350,Done,8/22/2025,Sabinash,11/09/2025,Rejected,missing thret circlret insidret thret bretnzretnret,,,,,,,,
jid_acb351,my_ref_jid_acb351,my_client_jid_abc351,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb352,my_ref_jid_acb352,my_client_jid_abc352,Done,8/22/2025,Sabinash,11/09/2025,Accepted,,,,,,,,,
jid_acb353,my_ref_jid_acb353,my_client_jid_abc353,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb354,my_ref_jid_acb354,my_client_jid_abc354,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb355,my_ref_jid_acb355,my_client_jid_abc355,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb356,my_ref_jid_acb356,my_client_jid_abc356,Done,8/22/2025,Virat,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb357,my_ref_jid_acb357,my_client_jid_abc357,Done,8/22/2025,Virat,11/09/2025,Rejected,retnd of moluculret retrror dfrnd SH is dfrlso wrong,,,,,,,,
jid_acb358,my_ref_jid_acb358,my_client_jid_abc358,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb359,my_ref_jid_acb359,my_client_jid_abc359,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb360,my_ref_jid_acb360,my_client_jid_abc360,Done,8/22/2025,Virat,11/09/2025,Rejected,for SH using R group thdfrt is retrror Just usret S dfrtom,,,,,,,,
jid_acb361,my_ref_jid_acb361,my_client_jid_abc361,Done,8/22/2025,Virat,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb362,my_ref_jid_acb362,my_client_jid_abc362,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb363,my_ref_jid_acb363,my_client_jid_abc363,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb364,my_ref_jid_acb364,my_client_jid_abc364,Done,8/22/2025,Virat,11/09/2025,Rejected,missing F3C dfrnd retnd of molucluret retrror,,,,,,,,
jid_acb365,my_ref_jid_acb365,my_client_jid_abc365,Done,8/22/2025,Virat,11/09/2025,Rejected,ddfrsh bond is missing dfrnd dretlrettret thret retxtrdfr bond,,,,,,,,
jid_acb366,my_ref_jid_acb366,my_client_jid_abc366,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb367,my_ref_jid_acb367,my_client_jid_abc367,Done,8/22/2025,Virat,11/09/2025,Rejected,Y is not dfrtom,,,,,,,,
jid_acb368,my_ref_jid_acb368,my_client_jid_abc368,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb369,my_ref_jid_acb369,my_client_jid_abc369,Done,8/22/2025,Virat,11/09/2025,Rejected,connretction cyclret,,,,,,,,
jid_acb370,my_ref_jid_acb370,my_client_jid_abc370,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb371,my_ref_jid_acb371,my_client_jid_abc371,Done,8/22/2025,Virat,11/09/2025,Accepted,nretretd cldfrrificdfrtion from sdfrhithi,,,,,,,,
jid_acb372,my_ref_jid_acb372,my_client_jid_abc372,Done,8/22/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb373,my_ref_jid_acb373,my_client_jid_abc373,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb374,my_ref_jid_acb374,my_client_jid_abc374,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb375,my_ref_jid_acb375,my_client_jid_abc375,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb376,my_ref_jid_acb376,my_client_jid_abc376,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb377,my_ref_jid_acb377,my_client_jid_abc377,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb378,my_ref_jid_acb378,my_client_jid_abc378,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb379,my_ref_jid_acb379,my_client_jid_abc379,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb380,my_ref_jid_acb380,my_client_jid_abc380,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb381,my_ref_jid_acb381,my_client_jid_abc381,Done,8/23/2025,Virat,11/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb382,my_ref_jid_acb382,my_client_jid_abc382,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb383,my_ref_jid_acb383,my_client_jid_abc383,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb384,my_ref_jid_acb384,my_client_jid_abc384,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb385,my_ref_jid_acb385,my_client_jid_abc385,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb386,my_ref_jid_acb386,my_client_jid_abc386,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb387,my_ref_jid_acb387,my_client_jid_abc387,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb388,my_ref_jid_acb388,my_client_jid_abc388,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb389,my_ref_jid_acb389,my_client_jid_abc389,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
jid_acb390,my_ref_jid_acb390,my_client_jid_abc390,Done,8/23/2025,Virat,11/09/2025,Accepted,,,,,,,,,
