Pending Making - 19,Pending in QC - 478,Accepted in QC - 511 / 1000,Making Completed - 981,,Total - 13/09/2025,Today QC - 0,Total QC - 612,Reject Reason,Rework date,Comment,,Report = Batch 3 - 1000,,,Not Started,377
jid_acb042,my_ref_jid_acb042,my_client_jid_abc042,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb043,my_ref_jid_acb043,my_client_jid_abc043,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb044,my_ref_jid_acb044,my_client_jid_abc044,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb045,my_ref_jid_acb045,my_client_jid_abc045,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb046,my_ref_jid_acb046,my_client_jid_abc046,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb047,my_ref_jid_acb047,my_client_jid_abc047,Done,8/22/2025,Mahi,12/09/2025,Rejected,connretction cyclret,,,,,,,,
jid_acb048,my_ref_jid_acb048,my_client_jid_abc048,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb049,my_ref_jid_acb049,my_client_jid_abc049,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb050,my_ref_jid_acb050,my_client_jid_abc050,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,need ask,,,,,,
jid_acb051,my_ref_jid_acb051,my_client_jid_abc051,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb052,my_ref_jid_acb052,my_client_jid_abc052,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb053,my_ref_jid_acb053,my_client_jid_abc053,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb054,my_ref_jid_acb054,my_client_jid_abc054,Done,8/22/2025,Mahi,12/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb055,my_ref_jid_acb055,my_client_jid_abc055,Done,8/22/2025,Mahi,12/09/2025,Rejected,missing thret circlret insidret thret bretnzretnret,,,,,,,,
jid_acb056,my_ref_jid_acb056,my_client_jid_abc056,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
